PriLevel,SecLevel,ThirdLevel,Trigger,Sync,Cycle,RefTime,ToothTime,Time
Flag,Flag,Flag,Flag,Flag,Flag,ms,ms,ms
0.000,0.000,1.000,0.000,1.000,0.000,93589.797,0.496,93589.797
1.000,0.000,1.000,0.000,1.000,0.000,93643.445,53.652,93643.445
0.000,0.000,1.000,0.000,1.000,0.000,93643.930,0.480,93643.930
1.000,0.000,1.000,0.000,1.000,0.000,93697.594,53.664,93697.594
0.000,0.000,1.000,0.000,1.000,0.000,93698.070,0.480,93698.070
1.000,0.000,1.000,0.000,1.000,0.000,93752.797,54.724,93752.797
0.000,0.000,1.000,0.000,1.000,0.000,93753.273,0.480,93753.273
1.000,0.000,1.000,0.000,1.000,0.000,93805.922,52.648,93805.922
0.000,0.000,1.000,0.000,1.000,0.000,93806.406,0.480,93806.406
1.000,0.000,1.000,0.000,1.000,0.000,93860.109,53.704,93860.109
0.000,0.000,1.000,0.000,1.000,0.000,93860.586,0.480,93860.586
1.000,0.000,1.000,0.000,1.000,0.000,93914.297,53.708,93914.297
0.000,0.000,1.000,0.000,1.000,0.000,93914.773,0.480,93914.773
1.000,0.000,1.000,0.000,1.000,0.000,93968.484,53.712,93968.484
0.000,0.000,1.000,0.000,1.000,0.000,93968.961,0.476,93968.961
1.000,0.000,1.000,0.000,1.000,0.000,94022.680,53.712,94022.680
0.000,0.000,1.000,0.000,1.000,0.000,94023.156,0.484,94023.156
1.000,0.000,1.000,0.000,1.000,0.000,94076.883,53.724,94076.883
0.000,0.000,1.000,0.000,1.000,0.000,94077.375,0.488,94077.375
1.000,0.000,1.000,0.000,1.000,0.000,94131.055,53.684,94131.055
0.000,0.000,1.000,0.000,1.000,0.000,94131.531,0.476,94131.531
1.000,0.000,1.000,0.000,1.000,0.000,94185.250,53.716,94185.250
0.000,0.000,1.000,0.000,1.000,0.000,94185.773,0.524,94185.773
1.000,0.000,1.000,0.000,1.000,0.000,94240.922,55.148,94240.922
0.000,0.000,1.000,0.000,1.000,0.000,94241.398,0.480,94241.398
1.000,0.000,1.000,0.000,1.000,0.000,94293.672,52.268,94293.672
0.000,0.000,1.000,0.000,1.000,0.000,94294.141,0.472,94294.141
1.000,0.000,1.000,0.000,1.000,0.000,94347.883,53.744,94347.883
0.000,0.000,1.000,0.000,1.000,0.000,94348.359,0.472,94348.359
1.000,0.000,1.000,0.000,1.000,0.000,94403.094,54.740,94403.094
0.000,0.000,1.000,0.000,1.000,0.000,94403.578,0.480,94403.578
1.000,0.000,1.000,0.000,1.000,0.000,94456.359,52.784,94456.359
0.000,0.000,1.000,0.000,1.000,0.000,94456.844,0.484,94456.844
1.000,0.000,1.000,0.000,1.000,0.000,94510.602,53.760,94510.602
0.000,0.000,1.000,0.000,1.000,0.000,94511.086,0.480,94511.086
1.000,0.000,1.000,0.000,1.000,0.000,94566.750,55.664,94566.750
0.000,0.000,1.000,0.000,1.000,0.000,94567.227,0.480,94567.227
1.000,0.000,1.000,0.000,1.000,0.000,94619.289,52.060,94619.289
0.000,0.000,1.000,0.000,1.000,0.000,94619.766,0.476,94619.766
1.000,0.000,1.000,0.000,1.000,0.000,94673.414,53.648,94673.414
0.000,0.000,1.000,0.000,1.000,0.000,94673.883,0.472,94673.883
1.000,0.000,1.000,0.000,1.000,0.000,94727.688,53.800,94727.688
0.000,0.000,1.000,0.000,1.000,0.000,94728.172,0.488,94728.172
1.000,0.000,1.000,0.000,1.000,0.000,94781.961,53.792,94781.961
0.000,0.000,1.000,0.000,1.000,0.000,94782.445,0.480,94782.445
1.000,0.000,1.000,0.000,1.000,0.000,94836.234,53.788,94836.234
0.000,0.000,1.000,0.000,1.000,0.000,94836.719,0.484,94836.719
1.000,0.000,1.000,0.000,1.000,0.000,94890.508,53.788,94890.508
0.000,0.000,1.000,0.000,1.000,0.000,94890.984,0.480,94890.984
1.000,0.000,1.000,0.000,1.000,0.000,94944.773,53.788,94944.773
0.000,0.000,1.000,0.000,1.000,0.000,94945.258,0.488,94945.258
1.000,0.000,1.000,0.000,1.000,0.000,94999.031,53.768,94999.031
0.000,0.000,1.000,0.000,1.000,0.000,94999.500,0.472,94999.500
1.000,0.000,1.000,0.000,1.000,0.000,95054.703,55.204,95054.703
0.000,0.000,1.000,0.000,1.000,0.000,95055.188,0.480,95055.188
1.000,0.000,1.000,0.000,1.000,0.000,95108.352,53.164,95108.352
0.000,0.000,1.000,0.000,1.000,0.000,95108.820,0.472,95108.820
1.000,0.000,1.000,0.000,1.000,0.000,95161.891,53.068,95161.891
0.000,0.000,1.000,0.000,1.000,0.000,95162.367,0.480,95162.367
1.000,0.000,1.000,0.000,1.000,0.000,95218.828,56.460,95218.828
0.000,0.000,1.000,0.000,1.000,0.000,95219.297,0.472,95219.297
1.000,0.000,1.000,0.000,1.000,0.000,95270.492,51.196,95270.492
0.000,0.000,1.000,0.000,1.000,0.000,95270.984,0.488,95270.984
1.000,0.000,1.000,0.000,1.000,0.000,95324.828,53.844,95324.828
