one_cyl_ignition LANDMARK-PLL experiment build
timing: AFTER_EDone_cyl_ignition LANDMARK-PLL experiment build
timing: AFTER_EDGE_DEG=315 TRIGGER_ANGLE_BTDC=330 ADVANCE_BTDC=15
WATCHDOG: STALL gap_us=3000012
seq=231 ev=SKIP      val_us=7568 refBig_us=121232
seq=232 ev=FIRED     val_us=125856 refBig_us=119344 period_us=129088 rpm=464 resid_us=-3344 edgeToSpark_us=112944
seq=233 ev=SKIP      val_us=11168 refBig_us=117488
seq=234 ev=FIRED     val_us=131344 refBig_us=123088 period_us=129152 rpm=464 resid_us=2256 edgeToSpark_us=113008
seq=235 ev=SKIP      val_us=7920 refBig_us=121168
seq=236 ev=FIRED     val_us=132720 refBig_us=122816 period_us=129248 rpm=464 resid_us=3568 edgeToSpark_us=113088
seq=237 ev=SKIP      val_us=7776 refBig_us=120912
seq=238 ev=FIRED     val_us=98688 refBig_us=119024 period_us=128288 rpm=467 resid_us=-30560 edgeToSpark_us=112240
seq=239 ev=SKIP      val_us=36128 refBig_us=117168
seq=240 ev=SKIP      val_us=7376 refBig_us=115344
seq=241 ev=FIRED     val_us=140736 refBig_us=123968 period_us=128672 rpm=466 resid_us=12448 edgeToSpark_us=112576
seq=242 ev=SKIP      val_us=7456 refBig_us=122032
seq=243 ev=FIRED     val_us=104960 refBig_us=120128 period_us=127920 rpm=469 resid_us=-23712 edgeToSpark_us=111920
seq=244 ev=SKIP      val_us=39776 refBig_us=118256
seq=245 ev=SKIP      val_us=7328 refBig_us=116416
seq=246 ev=FIRED     val_us=152336 refBig_us=125968 period_us=128672 rpm=466 resid_us=24416 edgeToSpark_us=112576
seq=247 ev=SKIP      val_us=7776 refBig_us=124000
seq=248 ev=FIRED     val_us=114304 refBig_us=122064 period_us=128208 rpm=467 resid_us=-14368 edgeToSpark_us=112176
seq=249 ev=SKIP      val_us=36960 refBig_us=120160
seq=250 ev=SKIP      val_us=10320 refBig_us=118288
seq=251 ev=FIRED     val_us=158720 refBig_us=124000 period_us=129152 rpm=464 resid_us=30512 edgeToSpark_us=113008
seq=252 ev=SKIP      val_us=8112 refBig_us=122064
seq=253 ev=FIRED     val_us=159792 refBig_us=124976 period_us=130096 rpm=461 resid_us=30640 edgeToSpark_us=113824
seq=254 ev=SKIP      val_us=8256 refBig_us=123024
seq=255 ev=FIRED     val_us=159488 refBig_us=124416 period_us=131008 rpm=457 resid_us=29392 edgeToSpark_us=114624
seq=0 ev=SKIP      val_us=7632 refBig_us=122480
seq=1 ev=FIRED     val_us=119824 refBig_us=120576 period_us=130656 rpm=459 resid_us=-11184 edgeToSpark_us=114320
seq=2 ev=SKIP      val_us=38032 refBig_us=118704
seq=3 ev=SKIP      val_us=8144 refBig_us=116864
seq=4 ev=FIRED     val_us=160752 refBig_us=124352 period_us=131584 rpm=455 resid_us=30096 edgeToSpark_us=115136
seq=5 ev=SKIP      val_us=7824 refBig_us=122416
seq=6 ev=FIRED     val_us=158176 refBig_us=124016 period_us=132400 rpm=453 resid_us=26592 edgeToSpark_us=115840
seq=7 ev=SKIP      val_us=8160 refBig_us=122080
seq=8 ev=FIRED     val_us=118752 refBig_us=120176 period_us=131968 rpm=454 resid_us=-13648 edgeToSpark_us=115472
seq=9 ev=SKIP      val_us=37520 refBig_us=118304
seq=10 ev=SKIP      val_us=7680 refBig_us=116464
seq=11 ev=FIRED     val_us=156192 refBig_us=122928 period_us=132720 rpm=452 resid_us=24224 edgeToSpark_us=116128
seq=12 ev=SKIP      val_us=7680 refBig_us=121008
seq=13 ev=FIRED     val_us=153184 refBig_us=124304 period_us=133344 rpm=449 resid_us=20464 edgeToSpark_us=116672
seq=14 ev=SKIP      val_us=7664 refBig_us=122368
seq=15 ev=FIRED     val_us=150160 refBig_us=124576 period_us=133856 rpm=448 resid_us=16816 edgeToSpark_us=117120
seq=16 ev=SKIP      val_us=8000 refBig_us=122640
