=== CAPTURE OPEN - crank now ===
seq=252 ev=FIRED     val_us=271888 refBig_us=97856 period_us=254768 rpm=235 resid_us=17664 edgeToSpark_us=230336
seq=253 ev=SKIP      val_us=34544 refBig_us=96336
seq=254 ev=SKIP      val_us=21648 refBig_us=94832
seq=255 ev=SKIP      val_us=11504 refBig_us=93360
seq=0 ev=FIRED     val_us=171056 refBig_us=91904 period_us=252144 rpm=237 resid_us=-83712 edgeToSpark_us=227616
seq=1 ev=SKIP      val_us=34720 refBig_us=90480
seq=2 ev=SKIP      val_us=21904 refBig_us=89072
seq=3 ev=SKIP      val_us=9888 refBig_us=87696
seq=4 ev=EARLY     val_us=134848 refBig_us=109616
seq=5 ev=SKIP      val_us=14272 refBig_us=107904
seq=6 ev=FIRED     val_us=238640 refBig_us=106224 period_us=251712 rpm=238 resid_us=-13504 edgeToSpark_us=227232
seq=7 ev=SKIP      val_us=34544 refBig_us=104576
seq=8 ev=SKIP      val_us=22384 refBig_us=102944
seq=9 ev=SKIP      val_us=9408 refBig_us=101344
seq=10 ev=EARLY     val_us=143248 refBig_us=99776
seq=11 ev=SKIP      val_us=53552 refBig_us=98224
seq=12 ev=SKIP      val_us=13296 refBig_us=96704
seq=13 ev=FIRED     val_us=296080 refBig_us=95200 period_us=253088 rpm=237 resid_us=44368 edgeToSpark_us=250832
seq=14 ev=SKIP      val_us=37424 refBig_us=93728
seq=15 ev=SKIP      val_us=20944 refBig_us=92272
seq=16 ev=SKIP      val_us=12448 refBig_us=90832
seq=17 ev=FIRED     val_us=197568 refBig_us=89424 period_us=251344 rpm=238 resid_us=-55520 edgeToSpark_us=226896
seq=18 ev=SKIP      val_us=35520 refBig_us=88032
seq=19 ev=SKIP      val_us=22256 refBig_us=86672
seq=20 ev=SKIP      val_us=11440 refBig_us=85328
seq=21 ev=EARLY     val_us=142080 refBig_us=106656
seq=22 ev=SKIP      val_us=18640 refBig_us=104992
seq=23 ev=SKIP      val_us=13392 refBig_us=103360
seq=24 ev=FIRED     val_us=262032 refBig_us=101760 period_us=251664 rpm=238 resid_us=10688 edgeToSpark_us=227184
seq=25 ev=SKIP      val_us=34400 refBig_us=100176
seq=26 ev=SKIP      val_us=22800 refBig_us=98624
seq=27 ev=SKIP      val_us=10192 refBig_us=97088
seq=28 ev=FIRED     val_us=200688 refBig_us=121360 period_us=250064 rpm=239 resid_us=-50976 edgeToSpark_us=225744
seq=29 ev=SKIP      val_us=17696 refBig_us=119472
seq=30 ev=SKIP      val_us=14192 refBig_us=117616
seq=31 ev=EARLY     val_us=77376 refBig_us=115792
=== CAPTURE CLOSED ===
